User	Party	Round	Question	Answer	Confidence	Justification	Source
2	1	1	4	4	3	The Conservatives are likely to make inheritance tax thresholds higher, and so reduce the amount paid, but they would view abolishing the tax altogether as politically impossible.  David Cameron said, in late 2014: 'ÄúInheritance tax should [only] be paid by the very wealthy, and I think you should be able to pass a family home on to your children rather than leave it to the taxman (...) The last government allowed you to pass it between husband and wife, so the effective threshold was £650,000, but I have got ambitions and would like to see that go further.'Äù	http://www.ft.com/cms/s/0/9e840f90-5435-11e4-b2ea-00144feab7de.html#axzz3Sl3s3aIf
5	1	1	4	3	3	Last week's Conservative Party conference featured a great deal of talk about changes to personal taxes 'Äì but no mention of Inheritance Tax. Despite some media and political calls for clarity over the Conservatives' position, there was no follow up to Prime Minister David Cameron's vague comment, in March 2014, that 'Äúthe ambition is still there'Äù to fulfil a 2007 pledge to increase thresholds, so less people would leave behind a 40pc Inheritance Tax bill. Instead, the Conservatives have made it clear that their priority is to reform pensions and reduce income taxes 'Äì policies that will cost a considerable amount of money to fund. As it stands, Inheritance Tax thresholds are frozen until at least 2018 'Äì a move announced by the coalition Government, in February 2013, to cover the costs of long-term healthcare. Thresholds stand at £325,000 if you are single or divorced, and £650,000, if you are married (if you are widowed, it is up to £650,000 depending on how much allowance was used wh	http://www.telegraph.co.uk/financialservices/legal-and-tax-advice/inheritance-tax-service/11158628/What-did-the-Government-say-about-Inheritance-Tax.html
8	1	1	4	4	3	"Osborne and Cameron have spoken about plans to raise the inheritance tax threshold but have not expressed a desire to abolish the tax.   ""I have taken steps to help with inheritance, making sure that people can pass on their pension to their children...""  ""David Cameron has made it clear, as have I, that we believe inheritance tax is a tax that should be paid by the rich and we will set out our further approach closer to the election."""	http://uk.reuters.com/article/2015/01/11/uk-britain-politics-tax-idUKKBN0KK0IY20150111
9	1	1	4	2	3	The Party have not publicly stated that inheritance tax should be abolished, but that it should be cut drastically, so that it is only a tax for the 'rich'.	http://uk.reuters.com/article/2015/01/11/uk-britain-politics-tax-idUKKBN0KK0IY20150111
10	1	1	4	4	3	"On 14th September 2014, David Cameron was reported by the Daily Telegraph as being in favour of cutting inheritance tax, possibly by raising the threshold to exclude the first £1 million.  He is quoted as saying:  ""Inheritance tax should [only] be paid by the very wealthy, and I think you should be able to pass a family home on to your children rather than leave it to the taxman."""	http://www.telegraph.co.uk/finance/personalfinance/tax/11164236/David-Cameron-inheritance-tax-cut-will-take-some-time.html
2	1	1	5	5	4	"David Cameron has explicitly announced that the Conservatives will not means test benefits for pensioners.  Cameron said, in February 2015:  'Mr Cameron promised at the 2010 election not to introduce means testing for benefits such as bus passes, TV licences and the winter fuel allowance.  In a speech, he repeated that pledge for the next Parliament, ""no question"".  Labour and the Liberal Democrats have said they would remove some benefits from better-off pensioners.  ""In 2010, I looked down the barrel of the camera and made a clear commitment to the British people that I would keep these things,"" Mr Cameron said.  ""And that wasn't a commitment for five years - it was a commitment for as long as I am prime minister.""' "	http://www.bbc.co.uk/news/uk-31580520
5	1	1	5	5	4	"Universal benefits for pensioners will once again be protected if the Conservatives win May's general election, David Cameron has said.  Mr Cameron promised at the 2010 election not to introduce means testing for benefits such as bus passes, TV licences and the winter fuel allowance.  In a speech, he repeated that pledge for the next Parliament, ""no question""."	http://www.bbc.co.uk/news/uk-31580520
8	1	1	5	5	4	In the Conservative manifesto for pensioners, it states that 'Universal benefits for pensioners, such as free bus passes, TV licences for the over 75s and the winter fuel allowance, will once again be protected'. 	http://www.bbc.com/news/uk-politics-29642613
9	1	1	5	5	3	'Universal benefits for pensioners will once again be protected if the Conservatives win May's general election, David Cameron has said.  Mr Cameron promised at the 2010 election not to introduce means testing for benefits such as bus passes, TV licences and the winter fuel allowance.'	http://www.bbc.co.uk/news/uk-31580520
10	1	1	5	4	4	"Although the Conservative Party, has ideologically supported means testing of benefits, on 23rd February 2015, the BBC reported David Cameron's speech made at the company Saga in Hastings:  ""Universal benefits for pensioners will once again be protected if the Conservatives win May's general election, David Cameron has said.""  "	http://www.bbc.co.uk/news/uk-31580520
2	1	1	6	2	2	The Conservatives have proposed tax cuts across the board if elected. Both David Cameron and George Osbourne have refused to rule out bringing the top rate down - although they have said that they would target the less well-off as a first priority. Boris Johnson, who whilst being Mayor of London is an important figure in the Conservative campaign due to his unusual popularity, has said that the Conservatives should bring the 45p rate down, and there is a good chance that only someone with personal popularity can say something as unpalatable as this publicly.  All these factors indicate that bringing the top rate down as broadly favourable, but it is difficult to be certain until the Conservative Manifesto is published.(http://www.telegraph.co.uk/news/politics/conservative/10618693/Conservatives-likely-to-reduce-top-rate-of-tax-says-Boris-Johnson.html)  The Guardian reports (of David Cameron's comments re: the top rate of tax): 'The speculation was prompted by an interview with the S	http://www.theguardian.com/politics/2014/jan/05/david-cameron-plays-down-cutting-top-rate-tax
5	1	1	6	2	3	"Boris Johnson has said that he expects tax cuts for the richest to be at the centre of the next Conservative manifesto. The Mayor's comments come as Danny Alexander, the Liberal Democrat treasury secretary, said that the tax rate for Britain's richest will be brought down to 40p during the current parliament ""over my dead body"". George Osborne and David Cameron have both repeatedly refused to rule out that they will reduce the top rate of tax for the richest. Some Tories have said any tax cuts should help higher earners who have seen more of their income dragged into the 40 per cent tax band and Mr Johnson, the Mayor of London, has called on the Chancellor to cut the 45p rate imposed on earnings over £150,000."	http://www.telegraph.co.uk/news/politics/conservative/10618693/Conservatives-likely-to-reduce-top-rate-of-tax-says-Boris-Johnson.html
8	1	1	6	1	4	Regarding the 40% higher tax rate, the Conservative Party have pledged in their manifesto that 'the higher tax rate, 40%, would start at £50,000 instead of £41,900, at a cost of £1.6bn.  The highest rate of income tax was reduced in the current Parliament, from 50% to 45%, but no commitment to reduce this any further.  	http://www.bbc.com/news/uk-politics-29642613
9	1	1	6	2	3	"'Boris Johnson has said that he expects tax cuts for the richest to be at the centre of the next Conservative manifesto. The Mayor's comments come as Danny Alexander, the Liberal Democrat treasury secretary, said that the tax rate for Britain's richest will be brought down to 40p during the current parliament ""over my dead body"". George Osborne and David Cameron have both repeatedly refused to rule out that they will reduce the top rate of tax for the richest.'"	http://www.telegraph.co.uk/news/politics/conservative/10618693/Conservatives-likely-to-reduce-top-rate-of-tax-says-Boris-Johnson.html
10	1	1	6	3	2	"On 5th February 2014 The Guardian reported Boris Johnston's support for further cuts:  ""Speaking on BBC Radio 4's Today programme, Johnson did not dismiss the idea that the rate could be cut before the next election, saying he could not believe the Tories would ""go into an election on a campaign to keep our tax rates higher than [other countries']"".""  But, commenting on David Cameron's position The Guardian stated:  ""The prime minister has defended the 45p rate as the right level to raise tax revenue but last week declined three times to rule out a further cut, to 40p.""  "	http://www.theguardian.com/politics/2014/feb/05/danny-alexander-tax-rate-cut-boris-johnson
2	1	1	7	5	4	The Conservative Party is traditionally the part of privatisation, rather than nationalisation. There has been no mention of the Conservatives considering re-nationalisation. The Conservative think tank Centre for Policy Studies is against re-nationalisation. As a major change of policy direction, the absence of a commitment to re-nationalisation can be seen as firm evidence that the Conservatives are not considering this.	http://www.cps.org.uk/blog/q/date/2014/11/12/rail-re-nationalisation-not-the-solution-for-passengers/
5	1	1	7	5	4	Promoting innovation in delivering rail improvements. We will make funding for smaller scale capacity enhancements, currently dealt with by Network Rail, contestable and open to other providers, including train operating companies, local authorities and Community Rail Partnerships. This will improve efficiency and help provide an important benchmark for Network Rail's performance.	https://www.conservatives.com/~/media/Files/Downloadable%20Files/Railreview.ashx?dl=true
8	1	1	7	5	4	In an article about the renationalisation of the railways at a time when the East Coast main line train services passed into private hands, a spokesman for the Conservative Party reiterated the long held view that 'The Conservatives are against nationalising the network, franchising has led to the most improved railways in the EU with record levels of investment, passenger numbers doubling and punctuality rates at record levels'.   	
9	1	1	7	5	4	'The Conservatives, the party that privatised the railways in the first place, seem to think that the railways aren't privatised enough. There was no mention of renationalisation in the Tories' 2010 general election manifesto: instead they thought the answer was to grant even longer rail franchises to the rail companies.'	http://www.theguardian.com/commentisfree/2012/oct/04/public-want-railways-renationalised
10	1	1	7	5	3	"On 3rd March 2015, the BBC reported Conservative opposition to renationalisation of the railways:  ""The Conservatives are against nationalising the network. A spokesman says that franchising has led to the most improved railways in the EU with record levels of investment, passenger numbers doubling and punctuality rates at record levels."" "	http://www.bbc.co.uk/news/magazine-31621300
2	1	1	8	4	3	The 'bedroom tax' is a Conservative policy from this parliament, and therefore it is highly unlikely that they would scrap it. Ian Duncan Smith claims that not only does it save the public purse a significant amount, but the public also agree with it: 'new polling shows there is strong public support for reducing under-occupation and overcrowding.  In fact, 78 per cent of those who took part thought it was important to tackle the issue of overcrowding in social housing.  54 per cent agreed that it is fair that people of working age, who live in social housing, should receive less Housing Benefit if they have more bedrooms than they need.  While we believe these reforms will lead to a fairer system, we also expect them to generate a saving to the taxpayer of around £500 million a year and £1 billion over the last two years of this Government.' 	http://www.conservativehome.com/platform/2013/11/the-public-agree-that-cutting-the-spare-room-subsidy-is-fair.html
5	1	1	8	5	4	The 'bedroom tax' was a key Conservative policy. 	http://www.conservativehome.com/localgovernment/2013/02/cutting-the-spare-room-rent-subsidy-is-fair.html
8	1	1	8	5	4	"""The bedroom tax has been a controversial plank of the government's welfare reforms and Tory ministers have resisted frequent demands for the rules of the policy to be changed. """	http://www.theguardian.com/society/2014/sep/05/bedroom-tax-bill-splits-coalition-second-reading
9	1	1	8	4	3	'David Cameron's authority received a damaging blow on Friday when a Liberal Democrat-sponsored bill aimed at modifying the bedroom tax was voted through to the next stage in parliament after dozens of Tory MPs ignored whips' demands to vote with the government.  Labour MPs joined with the Tories' coalition partners to send the affordable homes bill, sponsored by Andrew George MP, through to a second reading vote by 306 to 231. Seventy Conservative MPs ignored a three line whip and stayed away from Westminister. Angie Bray, Tory MP for Ealing Central and Acton, voted against her party.  The issue has split the coalition, with one Tory MP, Philip Davies, claiming the Liberal-Tory pact has ended. Usually, the government can rely on a majority of more than 60. If passed, the bill would mean people who cannot be found a smaller home would be exempt from the cut in housing benefit. Disabled people who need a spare bedroom or who have had their homes adapted would be exempt.'	http://www.theguardian.com/society/2014/sep/05/bedroom-tax-bill-splits-coalition-second-reading
10	1	1	8	5	3	The Coalition Government introduced the bedroom tax and the Conservative Party voted against Lib-Dem/Labour proposals for reforms to it in September 2014.	http://www.theguardian.com/society/2014/sep/05/bedroom-tax-bill-splits-coalition-second-reading
2	1	1	9	4	2	"The Conservative Party face constant accusations of pushing through 'sneaking privatisation' of the NHS. The Conservative Party is not generally trusted by the public in this area, and David Cameron called Labour's accusations that he supported creeping privatisation 'nonsense'.  (http://news.sky.com/story/1344890/cameron-denies-privatising-the-nhs-claims) Cameron was even clearer when speaking on whether the TTIP trade deal with the US could allow US companies to become involved in a privatised NHS: ""It's our National Health Service, it's in the public sector and it will stay in the public sector (...) That's not going to change, it will remain free at the point of public use."" (http://www.mirror.co.uk/news/uk-news/david-cameron-denies-claims-america-4637876)  The Conservatives generally focus on a strong economy as the key to a strong NHS, and address issues such as cutting red tape and making savings rather than discussing privatisation. Whilst denying that they are looking to"	https://www.conservatives.com/SecuringABetterFuture/GoodServices.aspx
5	1	1	9	4	4	Priate sector involvement in the NHS has expanded under the party's leadership. 	http://www.newstatesman.com/politics/2014/12/governments-reforms-third-nhs-contracts-have-gone-private-sector
8	1	1	9	5	4	Cabinet minister, Francis Maude, speaking at a recent  event in London about the Better Care Fund, 'criticised the government's £5.3bn central policy to save the NHS and claimed it will only work if private firms are given a much bigger role'.   	http://www.theguardian.com/society/2014/dec/22/nhs-better-care-fund-francis-maude-private-firms
9	1	1	9	4	3	Tory Francis Maude says NHS reforms hinge on inclusion of private firms Maude wants private firms to get health service work under £5.3bn Better Care Fund aiming to knit health and social care'	http://www.theguardian.com/society/2014/dec/22/nhs-better-care-fund-francis-maude-private-firms
10	1	1	9	4	3	"The Health and Social Care Act introduced by the Coalition Government in 2012 was amended by Liberal Democrat proposals.  The Liberal Democrat Party successfully tabled amendments to reduce private sector involvement in the NHS through the 2012 Health and Social Care Bill. The House of Commons library quoted Clegg on page 4 on their report on the Bill by stating:  "" 'Äúfinal'Äù changes to the Bill, intended 'Äúto rule out beyond doubt any threat of a US-style market in the NHS'Äù  """	http://www.parliament.uk/briefing-papers/SN06252.pdf
2	1	1	10	1	4	"There is no evidence that the Conservative Party is considering changing the law regarding drugs. David Cameron spoke out against any reform of drugs policy in October, despite the enthusiasm of his coalition partners the Liberal Democrats: ''ÄúI don't believe in decriminalising drugs that are illegal today. I'm a parent with three children; I don't want to send out a message that somehow taking these drugs is OK or safe.'Äù  The prime minister added: 'ÄúUnder this government, drug use is falling and I think that is because we have followed an evidence-based approach. We've been focusing on education, prevention and treatment, and that is the right approach to take.'Äù  A No 10 statement rounded on Clegg: 'ÄúThe Lib Dem policy would see drug dealers getting off scot-free and send an incredibly dangerous message to young people about the risks of taking drugs.'Äù'"	http://www.theguardian.com/politics/2014/oct/30/cameron-refuses-review-of-drugs-policy-despite-lib-dem-pressure
5	1	1	10	2	3	The party may seek partial legislation but not full decriminalisation.	http://www.independent.co.uk/news/uk/politics/tory-thinktank-pushes-for-easing-of-cannabis-laws-to-be-cornerstone-of-partys-election-manifesto-9299048.html
8	1	1	10	1	4	"A Government report published in September 2014 on the link between tough penalties and drug use found 'There is ""no obvious"" link between tough laws and levels of illegal drug use'..  Commenting on the report, Prime Minister David Cameron said 'the research did not offer ""specific conclusions"" and said he did not ""believe in"" decriminalising drugs. Under this government drug use is falling and I think that's because we have followed an evidence-based approach'.     "	http://www.bbc.com/news/uk-29824764
9	1	1	10	2	3	"Prime Minister David Cameron said the research did not offer ""specific conclusions"" and said he did not ""believe in"" decriminalising drugs."	http://www.bbc.co.uk/news/uk-29824764
10	1	1	10	1	3	"On 31st October 2014, the Guardian reported David Cameron as stating:  ""'ÄúI don't believe in decriminalising drugs that are illegal today. I'm a parent with three children; I don't want to send out a message that somehow taking these drugs is OK or safe.'Äù"""	http://www.theguardian.com/politics/2014/oct/30/cameron-refuses-review-of-drugs-policy-despite-lib-dem-pressure
2	1	1	11	1	4	David Cameron has stated that he would bring back a 'Snoopers' Charter' if re-elected. Speaking after the Charlie Hebdo terror attacks in France, the Guardian reports that: 'Cameron told ITV News: 'ÄúWe do need to modernise our rules about interception. What we have done passing the recent law is we said that law will automatically fall in 2016 so a future government, whether it is led by me or led by someone else, will have to confront this issue and legislate.  'ÄúI have a very simple approach to this issue which is that ever since we faced these terrorist threats it has always been possible, in extremis, with the signature of a warrant from the home secretary, to intercept your communications, my communications, or anyone else, if there is a threat of terrorism. That is applied whether you are sending a letter, whether you are making a phone call, whether you are using a mobile phone, or whether you are using the internet. I think we cannot allow modern forms of communication to be ex	http://www.theguardian.com/politics/2015/jan/11/david-cameron-snoopers-charter-tory-election-win
5	1	1	11	1	4	David Cameron will refuse to form another coalition with the Liberal Democrats unless Nick Clegg backs down over his opposition to the so-called 'Äúsnoopers' charter'Äù, senior Government sources have warned. The Prime Minister sees his bid to ramp up internet surveillance powers to prevent terrorists plotting online atrocities online as a 'Äúred line'Äù in any future coalition negotiations.	http://www.telegraph.co.uk/technology/internet-security/11343771/No-coalition-without-snoopers-charter-Conservative-sources-say.html
8	1	1	11	2	4	For the forthcoming May 2015 General Election, the Conservatives Party advocates in their manifesto 'New laws to make it easier for the police to collect information about internet activity by suspected criminals. A Communications Data Act, requiring companies to start storing certain types of information'. 	http://www.bbc.com/news/uk-politics-29642613
9	1	1	11	2	3	'Theresa May sets out plans to monitor internet use in the UK  Details of internet use in the UK will have to be stored for a year to allow police and intelligence services to access it, under government plans.  Records will include people's activity on social network sites, webmail, internet phone calls and online gaming.'	http://www.bbc.co.uk/news/uk-politics-18434112
10	1	1	11	2	3	"On 15th January 2015, the BBC reported Theresa May's plans to introduce the Communications Data Bill which provides for the retention and surrender of data by ISPs and telecoms companies:  "" Without the Communications Data Bill, Mrs May said crimes ""would go unpunished"	http://www.bbc.co.uk/news/uk-politics-30816331
2	1	1	13	3	3	"The Conservative Party is divided on the issue of fracking. Similar to planning policy, this divides the Party between thier more rural, small 'c' conservative/""NIMBY' instincts, and its more progressive wing. As the New Statesman observed:   'Tory England liked fracking a lot more before the discovery that it could happen in sedate southern Shires. The point was made with accidentally satirical candour by David Howell, a Conservative peer and former minister, when he suggested that environmental disruption should be reserved for 'Äúdesolate'Äù northern provinces.   The gaffe had added pungency because Howell's son-in-law is George Osborne, the government's main cheerleader for fracking.'  Also see: http://www.conservativesagainstfracking.org/  However, David Cameron has attacked the 'religiosity' of fracking critics, and said that he would happily allow shale gas extraction in his constituency (http://www.bbc.co.uk/news/uk-politics-30504891) "	http://www.newstatesman.com/uk-politics/2013/08/fracking-war-shows-how-tory-party-has-been-captured-recession-proof-old-guard
5	1	1	13	2	4	The party, and key figures within it, have been largely supportive of fracking. 	http://www.theguardian.com/environment/2015/jan/26/george-osborne-ministers-fast-track-fracking
8	1	1	13	2	4	"""The coalition government has thrown its support behind it, with an Infrastructure Bill containing measures to change trespass laws to facilitate fracking, incentives offered to local communities for accommodating fracking, generous tax breaks for the fracking industry, and a new oil and gas ""licensing round"" which has opened up almost half the country to the potential of exploratory drilling."""	http://www.bbc.co.uk/news/uk-politics-28774052
9	1	1	13	2	2	Generally - Party is not totally united on the issue!  'The Conservative Party's enthusiasm for fracking is, officially, supported by the Lib Dem leadership.'  But there also exist groups such as Conservatives against Fracking.	http://www.bbc.co.uk/news/uk-politics-28774052
10	1	1	13	2	3	"On Monday 26th January The Guardian website reported that David Cameron had said:  'ÄúI want to see unconventional [shale] gas properly exploited in our country,'Äù said Cameron, during a visit to Hampshire on Monday. 'ÄúI think there are good reasons for doing this. We want to have greater energy security, we want to keep prices down, we also want to tackle climate change.'Äù""  This is despite some protests from Conservatives, for example those who set up the website http://www.conservativesagainstfracking.org/   "	http://www.theguardian.com/environment/2015/jan/26/david-cameron-rejects-fracking-ban-shale-gas
2	1	1	14	2	3	"David Cameron claimed at the end of Dec 2014 that people have 'had  enough' of wind farms, and the BBC reports that the Conservatives have pledged to end subsidies for new wind farms:  'Mr Cameron said it was right that future developments should have to make their case through the planning system with no more subsidies. People are ""frankly fed up with so many wind farms being built that won't be necessary"", he said. ""Enough is enough and I am very clear about that"", he added. When the Conservatives revealed their plans to end subsidies, Lib Dem Energy Secretary Ed Davey said: ""Putting the brakes on onshore wind would be disastrous for business and jobs in our growing green economy."""""	http://www.bbc.co.uk/news/uk-politics-30504891
5	1	1	14	1	3	The Conservatives have said they will not subsidise new onshore wind farms if they win the 2015 general election.  Energy Minister Michael Fallon said any project not granted planning permission before the election would not get funds as the UK would already have enough wind power to meet 2020 EU targets.	http://www.bbc.co.uk/news/uk-politics-27137184
8	1	1	14	1	4	In an article in Huffington Post, entitled 'Conservative Party Pledges To Cut Wind Farm Public Subsidies If It Wins 2015 General' Energy Minister stated that 'A Conservative government elected in 2015 would axe public subsidies for any newly planned on-shore wind turbines. 	http://www.huffingtonpost.co.uk/2014/04/24/tories-pledge-wind-farms-cut_n_5203261.html
9	1	1	14	1	4	'Onshore wind farms subsidies would be scrapped by Tories'	http://www.bbc.co.uk/news/uk-politics-27137184
10	1	1	14	2	2	"On 4th April 2014 The Guardian reported Conservative policy shifting to support only for offshore wind farms:  ""The Conservative party is planning to pledge in its manifesto for next year's general election that it will introduce a moratorium on future onshore windfarms from 2020 on the grounds that they have now become ""self-defeating""."",""http://www.theguardian.com/environment/2014/apr/04/conservatives-promise-ban-new-onshore-windfarms"	http://www.theguardian.com/environment/2014/apr/04/conservatives-promise-ban-new-onshore-windfarms
2	1	1	15	2	3	David Cameron personally attached himself to this government's gay marriage legislation. Whilst there is significant opposition within his party, Cameron has clearly aligned himself on this issue, and it is highly unlikely that the Conservative Party would change course unless its leadership changed.	http://www.pinknews.co.uk/2014/03/28/david-cameron/
5	1	1	15	2	4	The party spearheaded reform around same sex marriage but it divided elected representatives in the Commons. 	http://www.telegraph.co.uk/news/politics/9844514/Conservative-party-ripped-apart-by-gay-marriage-vote.html
8	1	1	15	1	4	"""Culture secretary Maria Miller said ""marriage is the bedrock of our society and now irrespective of sexuality everyone in British society can make that commitment"".  ""It is a wonderful achievement and whilst this legislation may be about marriage, its impact is so much wider. Making marriage available to all couples demonstrates our society's respect for all individuals regardless of their sexuality,"" she said."",""http://www.huffingtonpost.co.uk/2013/07/17/gay-marriage-is-now-legal-in-the-uk_n_3610453.html"	http://www.huffingtonpost.co.uk/2013/07/17/gay-marriage-is-now-legal-in-the-uk_n_3610453.html
9	1	1	15	2	3	Backbenchers are not so keen on the idea, despite it being Conservative legislation.  'Gay marriage: MPs back bill despite Conservative backbench opposition'  	http://www.bbc.co.uk/news/uk-politics-21346220
10	1	1	15	2	2	The Coalition Government passed legislation allowing same-sex couples to marry in 2013.  This was opposed by a number of Conservative MPs, but supported by the leadership.	http://www.theguardian.com/society/2013/may/21/gay-marriage-bill-divides-conservatives
2	1	1	17	2	2	"David Cameron has claimed that ""We are a Christian country and we should not be afraid to say so"". How strongly this would manifest itself in practise is unclear. "	http://www.bbc.co.uk/news/uk-politics-16224394
5	1	1	17	3	3	Whilst Christianity is important for the party and its membership, it has no clear policy on Christianity. 	http://www.newstatesman.com/uk-politics/2010/04/conservative-christian
8	1	1	17	1	4	In an article for the Church Times, Prime Minister, David Cameron wrote 'ÄúI believe we should be more confident about our status as a Christian country, more ambitious about expanding the role of faith-based organisations, and, frankly, more evangelical about a faith that compels us to get out there and make a difference to people's lives'Äù. 	http://www.independent.co.uk/news/uk/home-news/tory-james-arbuthnot-comes-out-as-an-atheist-claiming-mps-must-pretend-to-be-religious-9983538.html#
9	1	1	17	2	3	'David Cameron: I am evangelical about Christian faith  Prime minister criticises some non-believers for failing to see that faith can give people a 'moral code''	http://www.theguardian.com/politics/2014/apr/16/david-cameron-evangelical-about-christian-faith
10	1	1	17	2	3	"In April 2014, David Cameron was reported by the BBC website (on 23rd April 2014) of suggesting that the UK should be more confident:  "" Mr Cameron had also said Britons should be ""more confident"" in defending ""Christian values"". "" "	http://www.bbc.co.uk/news/uk-politics-27121879
2	1	1	18	4	3	"The Conservative Party has not committed to extend paid paternity leave - and has attempted a blocking or a  'watering down' of Liberal Democrat-led policy on this issue:  'Sources said Grant Shapps, the Conservative party chairman, led an effort to water down the package, backed by Philip Hammond, the defence secretary, Francis Maude, a cabinet office minister, Chris Grayling, the justice secretary, and Eric Pickles, the communities secretary.  The Conservative cabinet ministers wanted couples to give a binding commitment on how they would share the leave in advance, but the Lib Dems argued this would defeat the point of flexibility.  However, the Tories managed to retain the rules that parents will only be entitled to get the same job back if they take less than six months off, with anyone who takes longer potentially getting a similar but not identical role.  The Conservatives previously killed off Nick Clegg's demands for a month of dedicated ""daddy leave"" instead of the cu"	http://www.theguardian.com/money/2013/nov/29/jo-swinson-conflict-jobs-family-life
5	1	1	18	3	3	"The Conservative cabinet ministers wanted couples to give a binding commitment on how they would share the leave in advance, but the Lib Dems argued this would defeat the point of flexibility.  However, the Tories managed to retain the rules that parents will only be entitled to get the same job back if they take less than six months off, with anyone who takes longer potentially getting a similar but not identical role.  The Conservatives previously killed off Nick Clegg's demands for a month of dedicated ""daddy leave"" instead of the current two weeks.  The two parties have agreed to review the take-up of shared parental leave by fathers and look at extending paid paternity leave and pay ""once the economy is in a stronger position""."	http://www.theguardian.com/money/2013/nov/29/jo-swinson-conflict-jobs-family-life
8	1	1	18	4	4	"Under plans being considered by the Labour Party, new fathers would receive four weeks paternity leave and minimum wage.  Matthew Hancock, the Conservative skills minister, dismissed the policy as too expensive. ""This policy would mean even more spending, more borrowing and more taxes - exactly what got us into a mess in the first place.'Äù "	http://www.telegraph.co.uk/news/politics/ed-miliband/10901134/Month-off-paternity-leave-for-new-fathers-under-Labour.html
9	1	1	18	2	2	'Parental leave: Fathers to get almost 12 months  New fathers could get nearly 12 months of parental leave after the birth of their baby, it is reported.  The coalition has already outlined plans for parental leave to be shared between mothers and fathers.'	http://www.bbc.co.uk/news/uk-politics-19925686
